date,station,pollutant,actual_value,expected_value,difference,percentage_difference,z_score,method,severity,is_anomaly
2013-01-30,Córdoba,NO2,50.0417,21.5417,28.5,132.3015,2.1853,IQR,Moderate,True
2013-01-09,Centenario,PM10,57.2917,22.7848,34.507,151.4476,2.3933,IQR,Moderate,True
2012-12-21,Córdoba,NO2,51.6667,21.5417,30.125,139.845,2.3208,IQR,Moderate,True
2012-12-20,Centenario,PM10,61.2917,22.7848,38.507,169.0032,2.6943,IQR,Moderate,True
2012-12-18,Centenario,PM10,58.1579,22.7848,35.3731,155.2492,2.4585,IQR,Moderate,True
2012-12-18,Córdoba,NO2,51.4583,21.5417,29.9166,138.8776,2.3035,IQR,Moderate,True
2012-12-17,Córdoba,NO2,58.0833,21.5417,36.5416,169.6319,2.8558,IQR + Isolation Forest,High,True
2012-12-15,La Boca,PM10,57.25,25.0417,32.2083,128.6187,2.0496,IQR,Moderate,True
2012-12-14,Centenario,PM10,92.6,22.7848,69.8152,306.4122,5.05,IQR + Isolation Forest,Extreme,True
2012-12-14,La Boca,PM10,88.9167,25.0417,63.875,255.0745,4.2657,IQR,Extreme,True
2012-12-14,Córdoba,PM10,80.5,23.9583,56.5417,236.0005,4.4863,IQR,Extreme,True
2012-12-13,Córdoba,NO2,53.375,21.5417,31.8333,147.7752,2.4633,IQR,Moderate,True
2012-12-13,La Boca,PM10,61.7083,25.0417,36.6666,146.4222,2.3616,IQR,Moderate,True
2012-12-13,Córdoba,PM10,57.5417,23.9583,33.5834,140.1744,2.5947,IQR,Moderate,True
2012-12-11,Córdoba,NO2,61.6667,21.5417,40.125,186.2666,3.1546,IQR,High,True
