date,year,month,station,pollutant,daily_avg,daily_min,daily_max,daily_median,daily_std,records_count
2009-11-29,2009,11,La Boca,NO2,16.7391,5.0,25.0,19.0,6.5728,23
2009-11-29,2009,11,Palermo,CO,0.7929,0.58,1.1,0.735,0.1718,24
2009-11-30,2009,11,Centenario,CO,1.0,0.74,1.79,0.955,0.2426,24
2009-11-30,2009,11,Centenario,NO2,31.4167,19.0,47.0,29.0,8.9049,24
2009-11-30,2009,11,Córdoba,NO2,25.6667,20.0,33.0,25.0,3.4974,24
2009-11-30,2009,11,La Boca,NO2,26.0417,17.0,45.0,25.0,6.9312,24
2009-11-30,2009,11,Palermo,CO,0.5921,0.43,1.19,0.555,0.1698,24
2009-12-01,2009,12,Centenario,CO,1.2017,0.64,2.13,1.03,0.5011,24
2009-12-01,2009,12,Centenario,NO2,24.1667,7.0,43.0,21.0,11.1576,24
2009-12-01,2009,12,Córdoba,NO2,20.6667,13.0,27.0,20.0,3.6515,21
2009-12-01,2009,12,La Boca,NO2,24.1667,9.0,39.0,24.5,7.2452,24
2009-12-01,2009,12,Palermo,CO,0.8421,0.31,1.55,0.77,0.4455,24
2009-12-02,2009,12,Centenario,CO,0.9443,0.63,1.55,0.87,0.2641,23
2009-12-02,2009,12,Centenario,NO2,24.4737,7.0,36.0,26.0,8.5073,19
2009-12-02,2009,12,Córdoba,NO2,22.6667,12.0,37.0,21.0,7.3996,24
2009-12-02,2009,12,La Boca,NO2,22.75,11.0,33.0,23.0,5.2108,24
2009-12-02,2009,12,Palermo,CO,0.8413,0.55,1.38,0.76,0.2364,23
2009-12-03,2009,12,Centenario,CO,0.6138,0.51,0.86,0.6,0.0895,24
2009-12-03,2009,12,Centenario,NO2,17.3,4.0,30.0,16.0,8.2468,20
2009-12-03,2009,12,Córdoba,NO2,31.2917,12.0,43.0,34.0,10.8407,24
2009-12-03,2009,12,La Boca,NO2,14.5,10.0,26.0,12.5,5.1245,24
2009-12-03,2009,12,Palermo,CO,0.4525,0.38,0.71,0.41,0.099,24
2009-12-04,2009,12,Centenario,CO,0.6071,0.49,0.74,0.61,0.0728,24
2009-12-04,2009,12,Centenario,NO2,26.2917,19.0,35.0,27.0,4.0591,24
2009-12-04,2009,12,Córdoba,NO2,28.0417,20.0,45.0,24.0,6.7016,24
2009-12-04,2009,12,La Boca,NO2,25.1429,14.0,36.0,24.0,5.6682,21
2009-12-04,2009,12,Palermo,CO,0.7758,0.46,1.26,0.595,0.3047,24
2009-12-05,2009,12,Centenario,CO,0.6888,0.34,1.08,0.625,0.2723,24
2009-12-05,2009,12,Centenario,NO2,21.6667,11.0,33.0,21.5,7.2272,24
2009-12-05,2009,12,Córdoba,NO2,27.4167,16.0,46.0,26.0,7.5407,24
2009-12-05,2009,12,La Boca,NO2,18.75,9.0,27.0,19.5,5.1351,24
2009-12-05,2009,12,Palermo,CO,1.225,0.99,1.44,1.27,0.1449,24
